Gamma, Stubborn Fork Profit, Stubborn Trail Fork Hash Rate, Honest Profit
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
0, 0, 0.01, 1
