# B5 Focused Dynamic Strategy Switching Simulation Results
# Schedule file: schedule_b5_pure_petty.txt
# Gamma (connectivity) range: 0.8 - 1.0 in 0.05 increments
# Hash rate range: 0.15 - 0.3 (15% - 30%) in 0.01 increments
Gamma, Miner0_ProfitFraction, Miner0_HashRate, Miner1_HashRate, Miner0_BlockFraction
0.8, 0.144651, 0.15, 0.85, 0.146362
0.8, 0.155203, 0.15, 0.85, 0.155024
0.8, 0.148065, 0.15, 0.85, 0.148715
0.8, 0.146754, 0.15, 0.85, 0.147555
0.8, 0.145149, 0.15, 0.85, 0.147796
0.8, 0.150457, 0.15, 0.85, 0.149141
0.8, 0.152854, 0.15, 0.85, 0.149411
0.8, 0.153699, 0.15, 0.85, 0.152722
0.8, 0.148676, 0.15, 0.85, 0.150554
0.8, 0.145357, 0.15, 0.85, 0.146068
0.8, 0.146241, 0.15, 0.85, 0.14978
0.8, 0.150437, 0.15, 0.85, 0.150186
0.8, 0.156146, 0.15, 0.85, 0.155115
0.8, 0.15202, 0.15, 0.85, 0.153316
0.8, 0.147733, 0.15, 0.85, 0.147745
0.8, 0.156038, 0.15, 0.85, 0.152191
0.8, 0.14738, 0.15, 0.85, 0.147591
0.8, 0.14556, 0.15, 0.85, 0.146488
0.8, 0.14824, 0.15, 0.85, 0.147735
0.8, 0.150715, 0.15, 0.85, 0.151431
0.8, 0.14879, 0.15, 0.85, 0.149141
0.8, 0.14722, 0.15, 0.85, 0.147019
0.8, 0.147788, 0.15, 0.85, 0.14589
0.8, 0.152475, 0.15, 0.85, 0.150265
0.8, 0.151937, 0.15, 0.85, 0.149266
0.8, 0.162165, 0.16, 0.84, 0.162389
0.8, 0.155539, 0.16, 0.84, 0.157104
0.8, 0.15614, 0.16, 0.84, 0.157394
0.8, 0.152618, 0.16, 0.84, 0.157007
0.8, 0.161322, 0.16, 0.84, 0.162433
0.8, 0.160177, 0.16, 0.84, 0.158347
0.8, 0.163997, 0.16, 0.84, 0.164144
0.8, 0.159048, 0.16, 0.84, 0.159425
0.8, 0.165088, 0.16, 0.84, 0.162334
0.8, 0.160597, 0.16, 0.84, 0.159952
0.8, 0.16206, 0.16, 0.84, 0.15881
0.8, 0.161224, 0.16, 0.84, 0.159226
0.8, 0.167188, 0.16, 0.84, 0.162073
0.8, 0.157689, 0.16, 0.84, 0.160018
0.8, 0.166467, 0.16, 0.84, 0.161434
0.8, 0.15533, 0.16, 0.84, 0.159254
0.8, 0.160787, 0.16, 0.84, 0.162188
0.8, 0.159438, 0.16, 0.84, 0.162862
0.8, 0.1579, 0.16, 0.84, 0.159733
0.8, 0.157553, 0.16, 0.84, 0.15427
0.8, 0.161803, 0.16, 0.84, 0.161383
0.8, 0.162927, 0.16, 0.84, 0.161366
0.8, 0.158518, 0.16, 0.84, 0.160107
0.8, 0.157934, 0.16, 0.84, 0.15944
0.8, 0.162873, 0.16, 0.84, 0.162005
0.8, 0.169655, 0.17, 0.83, 0.170641
0.8, 0.165571, 0.17, 0.83, 0.167309
0.8, 0.170784, 0.17, 0.83, 0.169246
0.8, 0.167898, 0.17, 0.83, 0.168382
0.8, 0.161596, 0.17, 0.83, 0.164778
0.8, 0.166, 0.17, 0.83, 0.166942
0.8, 0.168919, 0.17, 0.83, 0.171204
0.8, 0.170852, 0.17, 0.83, 0.169731
0.8, 0.165619, 0.17, 0.83, 0.170869
0.8, 0.174508, 0.17, 0.83, 0.169854
0.8, 0.165684, 0.17, 0.83, 0.166058
0.8, 0.170695, 0.17, 0.83, 0.174836
0.8, 0.167979, 0.17, 0.83, 0.166224
0.8, 0.171433, 0.17, 0.83, 0.171086
0.8, 0.171086, 0.17, 0.83, 0.16977
0.8, 0.175056, 0.17, 0.83, 0.171336
0.8, 0.160337, 0.17, 0.83, 0.166008
0.8, 0.166975, 0.17, 0.83, 0.167973
0.8, 0.167983, 0.17, 0.83, 0.168989
0.8, 0.164559, 0.17, 0.83, 0.169188
0.8, 0.168238, 0.17, 0.83, 0.169607
0.8, 0.167648, 0.17, 0.83, 0.168808
0.8, 0.168112, 0.17, 0.83, 0.171612
0.8, 0.165716, 0.17, 0.83, 0.167852
0.8, 0.174474, 0.17, 0.83, 0.167522
0.8, 0.183094, 0.18, 0.82, 0.180428
0.8, 0.175428, 0.18, 0.82, 0.176359
0.8, 0.182911, 0.18, 0.82, 0.179228
0.8, 0.17497, 0.18, 0.82, 0.180279
0.8, 0.179742, 0.18, 0.82, 0.178074
0.8, 0.184541, 0.18, 0.82, 0.183178
0.8, 0.179822, 0.18, 0.82, 0.179058
0.8, 0.1806, 0.18, 0.82, 0.179697
0.8, 0.175177, 0.18, 0.82, 0.172335
0.8, 0.187429, 0.18, 0.82, 0.181133
0.8, 0.183089, 0.18, 0.82, 0.180382
0.8, 0.188598, 0.18, 0.82, 0.1811
0.8, 0.173305, 0.18, 0.82, 0.172606
0.8, 0.185931, 0.18, 0.82, 0.183635
0.8, 0.176871, 0.18, 0.82, 0.177919
0.8, 0.179492, 0.18, 0.82, 0.180385
0.8, 0.174689, 0.18, 0.82, 0.17364
0.8, 0.184317, 0.18, 0.82, 0.181732
0.8, 0.186485, 0.18, 0.82, 0.184304
0.8, 0.184653, 0.18, 0.82, 0.183129
0.8, 0.185516, 0.18, 0.82, 0.183316
0.8, 0.179351, 0.18, 0.82, 0.181121
0.8, 0.178009, 0.18, 0.82, 0.180691
0.8, 0.178767, 0.18, 0.82, 0.179726
0.8, 0.174063, 0.18, 0.82, 0.175646
0.8, 0.181872, 0.19, 0.81, 0.185286
0.8, 0.18537, 0.19, 0.81, 0.190017
0.8, 0.187603, 0.19, 0.81, 0.187776
0.8, 0.193311, 0.19, 0.81, 0.193113
0.8, 0.18848, 0.19, 0.81, 0.186289
0.8, 0.189478, 0.19, 0.81, 0.19256
0.8, 0.189116, 0.19, 0.81, 0.189159
0.8, 0.195201, 0.19, 0.81, 0.193009
0.8, 0.189949, 0.19, 0.81, 0.188839
0.8, 0.188539, 0.19, 0.81, 0.189148
0.8, 0.190366, 0.19, 0.81, 0.188848
0.8, 0.196148, 0.19, 0.81, 0.190068
0.8, 0.195372, 0.19, 0.81, 0.191751
0.8, 0.188932, 0.19, 0.81, 0.191599
0.8, 0.184797, 0.19, 0.81, 0.186756
0.8, 0.188701, 0.19, 0.81, 0.188253
0.8, 0.198069, 0.19, 0.81, 0.194896
0.8, 0.192534, 0.19, 0.81, 0.189014
0.8, 0.189679, 0.19, 0.81, 0.189458
0.8, 0.186953, 0.19, 0.81, 0.183604
0.8, 0.18688, 0.19, 0.81, 0.187497
0.8, 0.196125, 0.19, 0.81, 0.19263
0.8, 0.190569, 0.19, 0.81, 0.190612
0.8, 0.191717, 0.19, 0.81, 0.194042
0.8, 0.193483, 0.19, 0.81, 0.190243
0.8, 0.201494, 0.2, 0.8, 0.204356
0.8, 0.199219, 0.2, 0.8, 0.194996
0.8, 0.205416, 0.2, 0.8, 0.198821
0.8, 0.201388, 0.2, 0.8, 0.198767
0.8, 0.200266, 0.2, 0.8, 0.198151
0.8, 0.196408, 0.2, 0.8, 0.19694
0.8, 0.192246, 0.2, 0.8, 0.193964
0.8, 0.197572, 0.2, 0.8, 0.191822
0.8, 0.198196, 0.2, 0.8, 0.198791
0.8, 0.200218, 0.2, 0.8, 0.201107
0.8, 0.197363, 0.2, 0.8, 0.199518
0.8, 0.200933, 0.2, 0.8, 0.197589
0.8, 0.200806, 0.2, 0.8, 0.199479
0.8, 0.200007, 0.2, 0.8, 0.202345
0.8, 0.198139, 0.2, 0.8, 0.199046
0.8, 0.20098, 0.2, 0.8, 0.202077
0.8, 0.196462, 0.2, 0.8, 0.198023
0.8, 0.202889, 0.2, 0.8, 0.19978
0.8, 0.201263, 0.2, 0.8, 0.20331
0.8, 0.205046, 0.2, 0.8, 0.200866
0.8, 0.196368, 0.2, 0.8, 0.196552
0.8, 0.19747, 0.2, 0.8, 0.200884
0.8, 0.190076, 0.2, 0.8, 0.18993
0.8, 0.196675, 0.2, 0.8, 0.197073
0.8, 0.20444, 0.2, 0.8, 0.205327
0.8, 0.212697, 0.21, 0.79, 0.207428
0.8, 0.21543, 0.21, 0.79, 0.213511
0.8, 0.213544, 0.21, 0.79, 0.210579
0.8, 0.208283, 0.21, 0.79, 0.207317
0.8, 0.21021, 0.21, 0.79, 0.211211
0.8, 0.21358, 0.21, 0.79, 0.20786
0.8, 0.206142, 0.21, 0.79, 0.206155
0.8, 0.21205, 0.21, 0.79, 0.211485
0.8, 0.202642, 0.21, 0.79, 0.20857
0.8, 0.215961, 0.21, 0.79, 0.215956
0.8, 0.203829, 0.21, 0.79, 0.207819
0.8, 0.212427, 0.21, 0.79, 0.209562
0.8, 0.200289, 0.21, 0.79, 0.206011
0.8, 0.205122, 0.21, 0.79, 0.208306
0.8, 0.21736, 0.21, 0.79, 0.214917
0.8, 0.208778, 0.21, 0.79, 0.209781
0.8, 0.209196, 0.21, 0.79, 0.210305
0.8, 0.21177, 0.21, 0.79, 0.209926
0.8, 0.211288, 0.21, 0.79, 0.212163
0.8, 0.204368, 0.21, 0.79, 0.206825
0.8, 0.203173, 0.21, 0.79, 0.205764
0.8, 0.214098, 0.21, 0.79, 0.212929
0.8, 0.205316, 0.21, 0.79, 0.208051
0.8, 0.216397, 0.21, 0.79, 0.213817
0.8, 0.202808, 0.21, 0.79, 0.209715
0.8, 0.21635, 0.22, 0.78, 0.215735
0.8, 0.222255, 0.22, 0.78, 0.22051
0.8, 0.219404, 0.22, 0.78, 0.220605
0.8, 0.216352, 0.22, 0.78, 0.216306
0.8, 0.220252, 0.22, 0.78, 0.2208
0.8, 0.219131, 0.22, 0.78, 0.218202
0.8, 0.220532, 0.22, 0.78, 0.218288
0.8, 0.224838, 0.22, 0.78, 0.225107
0.8, 0.221135, 0.22, 0.78, 0.224576
0.8, 0.225147, 0.22, 0.78, 0.223125
0.8, 0.220925, 0.22, 0.78, 0.222666
0.8, 0.223047, 0.22, 0.78, 0.222255
0.8, 0.223781, 0.22, 0.78, 0.221696
0.8, 0.215495, 0.22, 0.78, 0.221075
0.8, 0.21548, 0.22, 0.78, 0.218126
0.8, 0.218762, 0.22, 0.78, 0.222222
0.8, 0.215343, 0.22, 0.78, 0.215064
0.8, 0.220519, 0.22, 0.78, 0.217672
0.8, 0.216542, 0.22, 0.78, 0.216848
0.8, 0.226067, 0.22, 0.78, 0.226268
0.8, 0.215449, 0.22, 0.78, 0.217675
0.8, 0.218975, 0.22, 0.78, 0.222319
0.8, 0.221687, 0.22, 0.78, 0.218185
0.8, 0.224472, 0.22, 0.78, 0.222273
0.8, 0.224957, 0.22, 0.78, 0.223237
0.8, 0.232178, 0.23, 0.77, 0.231904
0.8, 0.232908, 0.23, 0.77, 0.229149
0.8, 0.229328, 0.23, 0.77, 0.226355
0.8, 0.226289, 0.23, 0.77, 0.22311
0.8, 0.234144, 0.23, 0.77, 0.23342
0.8, 0.234167, 0.23, 0.77, 0.235683
0.8, 0.235273, 0.23, 0.77, 0.232038
0.8, 0.232016, 0.23, 0.77, 0.23168
0.8, 0.239271, 0.23, 0.77, 0.233487
0.8, 0.236093, 0.23, 0.77, 0.234588
0.8, 0.222709, 0.23, 0.77, 0.224942
0.8, 0.2346, 0.23, 0.77, 0.231647
0.8, 0.233832, 0.23, 0.77, 0.231893
0.8, 0.220969, 0.23, 0.77, 0.225314
0.8, 0.228581, 0.23, 0.77, 0.230598
0.8, 0.233789, 0.23, 0.77, 0.232722
0.8, 0.226698, 0.23, 0.77, 0.230027
0.8, 0.220067, 0.23, 0.77, 0.225414
0.8, 0.238771, 0.23, 0.77, 0.232773
0.8, 0.227068, 0.23, 0.77, 0.228354
0.8, 0.235379, 0.23, 0.77, 0.231153
0.8, 0.244841, 0.23, 0.77, 0.23479
0.8, 0.229718, 0.23, 0.77, 0.228874
0.8, 0.225107, 0.23, 0.77, 0.228537
0.8, 0.226434, 0.23, 0.77, 0.230213
0.8, 0.23268, 0.24, 0.76, 0.236235
0.8, 0.238097, 0.24, 0.76, 0.240445
0.8, 0.239458, 0.24, 0.76, 0.236821
0.8, 0.235924, 0.24, 0.76, 0.236583
0.8, 0.243564, 0.24, 0.76, 0.238233
0.8, 0.239922, 0.24, 0.76, 0.238999
0.8, 0.241147, 0.24, 0.76, 0.242988
0.8, 0.242847, 0.24, 0.76, 0.245722
0.8, 0.237331, 0.24, 0.76, 0.236647
0.8, 0.242718, 0.24, 0.76, 0.237443
0.8, 0.242265, 0.24, 0.76, 0.246805
0.8, 0.243776, 0.24, 0.76, 0.244197
0.8, 0.245853, 0.24, 0.76, 0.244287
0.8, 0.234243, 0.24, 0.76, 0.23766
0.8, 0.244171, 0.24, 0.76, 0.243082
0.8, 0.245358, 0.24, 0.76, 0.243143
0.8, 0.228593, 0.24, 0.76, 0.233016
0.8, 0.252487, 0.24, 0.76, 0.24648
0.8, 0.239342, 0.24, 0.76, 0.240459
0.8, 0.238431, 0.24, 0.76, 0.237953
0.8, 0.239652, 0.24, 0.76, 0.240264
0.8, 0.241913, 0.24, 0.76, 0.244252
0.8, 0.241035, 0.24, 0.76, 0.240588
0.8, 0.24166, 0.24, 0.76, 0.233658
0.8, 0.233981, 0.24, 0.76, 0.236019
0.8, 0.255329, 0.25, 0.75, 0.256458
0.8, 0.243329, 0.25, 0.75, 0.245276
0.8, 0.247134, 0.25, 0.75, 0.246757
0.8, 0.248832, 0.25, 0.75, 0.252981
0.8, 0.254408, 0.25, 0.75, 0.25183
0.8, 0.24893, 0.25, 0.75, 0.248533
0.8, 0.25129, 0.25, 0.75, 0.25137
0.8, 0.249119, 0.25, 0.75, 0.249561
0.8, 0.251885, 0.25, 0.75, 0.2521
0.8, 0.247702, 0.25, 0.75, 0.248196
0.8, 0.252327, 0.25, 0.75, 0.252877
0.8, 0.244533, 0.25, 0.75, 0.25133
0.8, 0.256728, 0.25, 0.75, 0.255533
0.8, 0.24971, 0.25, 0.75, 0.250778
0.8, 0.25867, 0.25, 0.75, 0.255142
0.8, 0.247333, 0.25, 0.75, 0.244645
0.8, 0.25418, 0.25, 0.75, 0.251518
0.8, 0.249869, 0.25, 0.75, 0.248714
0.8, 0.249574, 0.25, 0.75, 0.250112
0.8, 0.254587, 0.25, 0.75, 0.249838
0.8, 0.252153, 0.25, 0.75, 0.253558
0.8, 0.257368, 0.25, 0.75, 0.252747
0.8, 0.251697, 0.25, 0.75, 0.25167
0.8, 0.248128, 0.25, 0.75, 0.248416
0.8, 0.24458, 0.25, 0.75, 0.248426
0.8, 0.258229, 0.26, 0.74, 0.257248
0.8, 0.264625, 0.26, 0.74, 0.259456
0.8, 0.258816, 0.26, 0.74, 0.260609
0.8, 0.263189, 0.26, 0.74, 0.266058
0.8, 0.260668, 0.26, 0.74, 0.264362
0.8, 0.26072, 0.26, 0.74, 0.257038
0.8, 0.258341, 0.26, 0.74, 0.257574
0.8, 0.245392, 0.26, 0.74, 0.253456
0.8, 0.254088, 0.26, 0.74, 0.257263
0.8, 0.259252, 0.26, 0.74, 0.257976
0.8, 0.257636, 0.26, 0.74, 0.260016
0.8, 0.262219, 0.26, 0.74, 0.259239
0.8, 0.257745, 0.26, 0.74, 0.256261
0.8, 0.268372, 0.26, 0.74, 0.265766
0.8, 0.260783, 0.26, 0.74, 0.261634
0.8, 0.254959, 0.26, 0.74, 0.258755
0.8, 0.260982, 0.26, 0.74, 0.259586
0.8, 0.259445, 0.26, 0.74, 0.258024
0.8, 0.259748, 0.26, 0.74, 0.264673
0.8, 0.265304, 0.26, 0.74, 0.265401
0.8, 0.264209, 0.26, 0.74, 0.261939
0.8, 0.263356, 0.26, 0.74, 0.260601
0.8, 0.26429, 0.26, 0.74, 0.260598
0.8, 0.256898, 0.26, 0.74, 0.260958
0.8, 0.25814, 0.26, 0.74, 0.257916
0.8, 0.267, 0.27, 0.73, 0.266061
0.8, 0.265905, 0.27, 0.73, 0.265431
0.8, 0.277911, 0.27, 0.73, 0.271823
0.8, 0.276996, 0.27, 0.73, 0.277359
0.8, 0.274321, 0.27, 0.73, 0.277287
0.8, 0.265981, 0.27, 0.73, 0.268596
0.8, 0.26994, 0.27, 0.73, 0.269039
0.8, 0.269872, 0.27, 0.73, 0.271591
0.8, 0.269992, 0.27, 0.73, 0.271689
0.8, 0.275796, 0.27, 0.73, 0.27109
0.8, 0.268521, 0.27, 0.73, 0.272086
0.8, 0.267624, 0.27, 0.73, 0.271626
0.8, 0.274749, 0.27, 0.73, 0.275259
0.8, 0.266385, 0.27, 0.73, 0.268284
0.8, 0.268959, 0.27, 0.73, 0.265102
0.8, 0.269914, 0.27, 0.73, 0.26915
0.8, 0.266664, 0.27, 0.73, 0.267138
0.8, 0.271881, 0.27, 0.73, 0.268441
0.8, 0.262309, 0.27, 0.73, 0.266787
0.8, 0.276473, 0.27, 0.73, 0.272238
0.8, 0.272394, 0.27, 0.73, 0.272347
0.8, 0.272274, 0.27, 0.73, 0.273289
0.8, 0.268318, 0.27, 0.73, 0.272024
0.8, 0.266814, 0.27, 0.73, 0.272504
0.8, 0.263835, 0.27, 0.73, 0.264925
0.8, 0.288855, 0.28, 0.72, 0.289044
0.8, 0.277418, 0.28, 0.72, 0.277242
0.8, 0.28342, 0.28, 0.72, 0.284982
0.8, 0.276846, 0.28, 0.72, 0.277255
0.8, 0.282152, 0.28, 0.72, 0.279355
0.8, 0.281248, 0.28, 0.72, 0.279918
0.8, 0.281729, 0.28, 0.72, 0.279858
0.8, 0.284507, 0.28, 0.72, 0.282747
0.8, 0.286196, 0.28, 0.72, 0.281717
0.8, 0.27861, 0.28, 0.72, 0.276819
0.8, 0.277741, 0.28, 0.72, 0.277927
0.8, 0.27559, 0.28, 0.72, 0.278082
0.8, 0.288548, 0.28, 0.72, 0.284524
0.8, 0.2815, 0.28, 0.72, 0.279627
0.8, 0.279756, 0.28, 0.72, 0.283921
0.8, 0.269264, 0.28, 0.72, 0.272334
0.8, 0.278463, 0.28, 0.72, 0.280501
0.8, 0.279948, 0.28, 0.72, 0.277939
0.8, 0.280329, 0.28, 0.72, 0.282431
0.8, 0.283714, 0.28, 0.72, 0.28037
0.8, 0.282897, 0.28, 0.72, 0.281796
0.8, 0.278619, 0.28, 0.72, 0.281848
0.8, 0.28182, 0.28, 0.72, 0.279526
0.8, 0.277574, 0.28, 0.72, 0.280929
0.8, 0.283331, 0.28, 0.72, 0.281817
0.8, 0.297098, 0.29, 0.71, 0.292934
0.8, 0.280805, 0.29, 0.71, 0.281907
0.8, 0.281692, 0.29, 0.71, 0.285714
0.8, 0.287548, 0.29, 0.71, 0.285722
0.8, 0.298765, 0.29, 0.71, 0.291824
0.8, 0.282208, 0.29, 0.71, 0.285871
0.8, 0.290296, 0.29, 0.71, 0.288927
0.8, 0.299708, 0.29, 0.71, 0.29533
0.8, 0.288334, 0.29, 0.71, 0.286007
0.8, 0.295014, 0.29, 0.71, 0.298017
0.8, 0.292384, 0.29, 0.71, 0.290202
0.8, 0.289559, 0.29, 0.71, 0.29288
0.8, 0.285753, 0.29, 0.71, 0.288142
0.8, 0.292274, 0.29, 0.71, 0.29281
0.8, 0.290231, 0.29, 0.71, 0.290135
0.8, 0.291265, 0.29, 0.71, 0.292312
0.8, 0.291049, 0.29, 0.71, 0.293449
0.8, 0.293976, 0.29, 0.71, 0.289348
0.8, 0.29005, 0.29, 0.71, 0.290262
0.8, 0.29476, 0.29, 0.71, 0.29173
0.8, 0.28323, 0.29, 0.71, 0.283533
0.8, 0.293229, 0.29, 0.71, 0.289268
0.8, 0.285908, 0.29, 0.71, 0.289397
0.8, 0.295989, 0.29, 0.71, 0.296184
0.8, 0.289715, 0.29, 0.71, 0.294115
0.8, 0.301239, 0.3, 0.7, 0.300025
0.8, 0.297741, 0.3, 0.7, 0.297299
0.8, 0.29684, 0.3, 0.7, 0.302409
0.8, 0.294945, 0.3, 0.7, 0.296622
0.8, 0.296775, 0.3, 0.7, 0.29721
0.8, 0.304219, 0.3, 0.7, 0.30072
0.8, 0.308008, 0.3, 0.7, 0.306682
0.8, 0.30158, 0.3, 0.7, 0.298301
0.8, 0.298364, 0.3, 0.7, 0.299249
0.8, 0.296538, 0.3, 0.7, 0.298332
0.8, 0.310773, 0.3, 0.7, 0.306017
0.8, 0.297648, 0.3, 0.7, 0.297017
0.8, 0.303286, 0.3, 0.7, 0.301076
0.8, 0.299526, 0.3, 0.7, 0.300896
0.8, 0.297382, 0.3, 0.7, 0.29971
0.8, 0.298514, 0.3, 0.7, 0.298407
0.8, 0.300559, 0.3, 0.7, 0.301282
0.8, 0.300872, 0.3, 0.7, 0.299006
0.8, 0.303809, 0.3, 0.7, 0.304594
0.8, 0.299163, 0.3, 0.7, 0.299276
0.8, 0.291197, 0.3, 0.7, 0.29173
0.8, 0.307675, 0.3, 0.7, 0.304456
0.8, 0.288841, 0.3, 0.7, 0.293322
0.8, 0.299941, 0.3, 0.7, 0.301892
0.8, 0.305193, 0.3, 0.7, 0.304755
0.85, 0.146659, 0.15, 0.85, 0.146618
0.85, 0.152246, 0.15, 0.85, 0.151013
0.85, 0.149693, 0.15, 0.85, 0.149319
0.85, 0.151266, 0.15, 0.85, 0.151629
0.85, 0.145582, 0.15, 0.85, 0.148809
0.85, 0.156412, 0.15, 0.85, 0.154409
0.85, 0.147117, 0.15, 0.85, 0.149295
0.85, 0.152855, 0.15, 0.85, 0.150508
0.85, 0.154209, 0.15, 0.85, 0.152876
0.85, 0.161527, 0.15, 0.85, 0.154833
0.85, 0.149167, 0.15, 0.85, 0.150444
0.85, 0.148436, 0.15, 0.85, 0.150356
0.85, 0.145025, 0.15, 0.85, 0.14558
0.85, 0.149859, 0.15, 0.85, 0.150589
0.85, 0.142686, 0.15, 0.85, 0.147218
0.85, 0.151823, 0.15, 0.85, 0.148675
0.85, 0.14937, 0.15, 0.85, 0.149418
0.85, 0.148862, 0.15, 0.85, 0.148677
0.85, 0.151897, 0.15, 0.85, 0.151324
0.85, 0.156054, 0.15, 0.85, 0.151212
0.85, 0.148054, 0.15, 0.85, 0.148881
0.85, 0.144777, 0.15, 0.85, 0.147873
0.85, 0.153773, 0.15, 0.85, 0.153785
0.85, 0.146279, 0.15, 0.85, 0.149309
0.85, 0.150436, 0.15, 0.85, 0.153407
0.85, 0.15986, 0.16, 0.84, 0.160111
0.85, 0.16757, 0.16, 0.84, 0.166253
0.85, 0.167558, 0.16, 0.84, 0.16552
0.85, 0.158075, 0.16, 0.84, 0.159729
0.85, 0.158638, 0.16, 0.84, 0.160675
0.85, 0.161061, 0.16, 0.84, 0.158424
0.85, 0.163881, 0.16, 0.84, 0.159899
0.85, 0.159704, 0.16, 0.84, 0.158741
0.85, 0.161971, 0.16, 0.84, 0.161201
0.85, 0.157556, 0.16, 0.84, 0.156121
0.85, 0.157632, 0.16, 0.84, 0.157871
0.85, 0.163642, 0.16, 0.84, 0.163385
0.85, 0.161514, 0.16, 0.84, 0.157576
0.85, 0.159798, 0.16, 0.84, 0.161967
0.85, 0.163412, 0.16, 0.84, 0.163083
0.85, 0.158145, 0.16, 0.84, 0.158522
0.85, 0.163484, 0.16, 0.84, 0.160478
0.85, 0.15966, 0.16, 0.84, 0.157338
0.85, 0.157443, 0.16, 0.84, 0.156418
0.85, 0.159861, 0.16, 0.84, 0.160423
0.85, 0.155842, 0.16, 0.84, 0.159167
0.85, 0.163468, 0.16, 0.84, 0.160745
0.85, 0.166452, 0.16, 0.84, 0.162698
0.85, 0.15837, 0.16, 0.84, 0.158727
0.85, 0.162151, 0.16, 0.84, 0.160436
0.85, 0.171445, 0.17, 0.83, 0.171525
0.85, 0.175751, 0.17, 0.83, 0.175277
0.85, 0.165627, 0.17, 0.83, 0.16738
0.85, 0.165562, 0.17, 0.83, 0.16738
0.85, 0.165109, 0.17, 0.83, 0.166869
0.85, 0.17419, 0.17, 0.83, 0.170989
0.85, 0.164843, 0.17, 0.83, 0.167827
0.85, 0.172023, 0.17, 0.83, 0.172091
0.85, 0.171631, 0.17, 0.83, 0.168785
0.85, 0.170874, 0.17, 0.83, 0.168852
0.85, 0.172084, 0.17, 0.83, 0.171127
0.85, 0.168467, 0.17, 0.83, 0.166824
0.85, 0.171663, 0.17, 0.83, 0.169202
0.85, 0.172257, 0.17, 0.83, 0.16818
0.85, 0.171092, 0.17, 0.83, 0.168956
0.85, 0.165334, 0.17, 0.83, 0.165575
0.85, 0.16316, 0.17, 0.83, 0.166284
0.85, 0.172612, 0.17, 0.83, 0.173804
0.85, 0.170975, 0.17, 0.83, 0.171843
0.85, 0.172297, 0.17, 0.83, 0.171633
0.85, 0.167495, 0.17, 0.83, 0.171096
0.85, 0.166512, 0.17, 0.83, 0.166318
0.85, 0.16797, 0.17, 0.83, 0.167251
0.85, 0.17019, 0.17, 0.83, 0.171454
0.85, 0.174512, 0.17, 0.83, 0.171981
0.85, 0.179388, 0.18, 0.82, 0.17883
0.85, 0.176065, 0.18, 0.82, 0.178112
0.85, 0.179915, 0.18, 0.82, 0.185841
0.85, 0.179577, 0.18, 0.82, 0.176561
0.85, 0.183078, 0.18, 0.82, 0.185213
0.85, 0.179422, 0.18, 0.82, 0.177419
0.85, 0.179893, 0.18, 0.82, 0.178463
0.85, 0.18274, 0.18, 0.82, 0.180228
0.85, 0.178957, 0.18, 0.82, 0.177696
0.85, 0.184506, 0.18, 0.82, 0.182646
0.85, 0.179391, 0.18, 0.82, 0.176844
0.85, 0.181825, 0.18, 0.82, 0.180278
0.85, 0.178626, 0.18, 0.82, 0.178086
0.85, 0.184566, 0.18, 0.82, 0.179532
0.85, 0.178642, 0.18, 0.82, 0.181497
0.85, 0.182184, 0.18, 0.82, 0.180302
0.85, 0.180973, 0.18, 0.82, 0.179851
0.85, 0.176523, 0.18, 0.82, 0.18152
0.85, 0.183026, 0.18, 0.82, 0.183292
0.85, 0.178651, 0.18, 0.82, 0.179494
0.85, 0.184682, 0.18, 0.82, 0.183443
0.85, 0.180011, 0.18, 0.82, 0.177641
0.85, 0.1765, 0.18, 0.82, 0.179294
0.85, 0.175104, 0.18, 0.82, 0.177924
0.85, 0.183527, 0.18, 0.82, 0.180838
0.85, 0.185956, 0.19, 0.81, 0.189089
0.85, 0.189962, 0.19, 0.81, 0.189598
0.85, 0.189222, 0.19, 0.81, 0.18759
0.85, 0.196136, 0.19, 0.81, 0.195615
0.85, 0.195061, 0.19, 0.81, 0.191219
0.85, 0.185962, 0.19, 0.81, 0.186821
0.85, 0.200207, 0.19, 0.81, 0.194832
0.85, 0.184889, 0.19, 0.81, 0.185751
0.85, 0.182793, 0.19, 0.81, 0.187447
0.85, 0.19224, 0.19, 0.81, 0.190282
0.85, 0.188642, 0.19, 0.81, 0.189804
0.85, 0.188057, 0.19, 0.81, 0.189513
0.85, 0.186585, 0.19, 0.81, 0.188471
0.85, 0.195353, 0.19, 0.81, 0.191306
0.85, 0.19175, 0.19, 0.81, 0.194291
0.85, 0.192934, 0.19, 0.81, 0.190417
0.85, 0.186342, 0.19, 0.81, 0.189176
0.85, 0.18796, 0.19, 0.81, 0.186346
0.85, 0.188578, 0.19, 0.81, 0.186892
0.85, 0.190626, 0.19, 0.81, 0.188231
0.85, 0.185991, 0.19, 0.81, 0.186589
0.85, 0.190401, 0.19, 0.81, 0.188265
0.85, 0.183363, 0.19, 0.81, 0.186357
0.85, 0.188081, 0.19, 0.81, 0.190041
0.85, 0.191014, 0.19, 0.81, 0.192975
0.85, 0.200647, 0.2, 0.8, 0.203192
0.85, 0.201975, 0.2, 0.8, 0.200652
0.85, 0.208036, 0.2, 0.8, 0.206395
0.85, 0.19328, 0.2, 0.8, 0.197941
0.85, 0.201236, 0.2, 0.8, 0.200227
0.85, 0.200731, 0.2, 0.8, 0.201135
0.85, 0.199391, 0.2, 0.8, 0.199098
