RationalVal, Gamma, Selfish Profit 1, Selfish Profit 2,  Individual Miner Hash Rate, Rational Profit,  Honest Profit
0.25, 0, 0.0384738, 0.0293368, 0.05, 0.271887, 0.660302
0.25, 0, 0.0351491, 0.0342278, 0.05, 0.278941, 0.651682
0.25, 0, 0.035879, 0.0303701, 0.05, 0.272159, 0.661592
0.25, 0, 0.031693, 0.0315148, 0.05, 0.279602, 0.65719
0.25, 0, 0.0366774, 0.0284962, 0.05, 0.282246, 0.652581
0.25, 0, 0.0366817, 0.0310591, 0.05, 0.277065, 0.655194
0.25, 0, 0.0280985, 0.0266482, 0.05, 0.274687, 0.670566
0.25, 0, 0.0334931, 0.0325891, 0.05, 0.278484, 0.655434
0.25, 0, 0.0383833, 0.0359436, 0.05, 0.275174, 0.650499
0.25, 0, 0.0326708, 0.0277604, 0.05, 0.270129, 0.66944
0.25, 0, 0.0325242, 0.0313523, 0.05, 0.276332, 0.659792
0.25, 0, 0.0331041, 0.0293829, 0.05, 0.271075, 0.666438
0.25, 0, 0.0304296, 0.0317219, 0.05, 0.272983, 0.664865
0.25, 0, 0.0357326, 0.0312214, 0.05, 0.267965, 0.665081
0.25, 0, 0.0290454, 0.0327751, 0.05, 0.279201, 0.658979
0.25, 0, 0.033501, 0.0290482, 0.05, 0.274575, 0.662875
0.25, 0, 0.0340494, 0.0314466, 0.05, 0.275523, 0.658981
0.25, 0, 0.033531, 0.031347, 0.05, 0.279607, 0.655515
0.25, 0, 0.0310625, 0.0316449, 0.05, 0.268368, 0.668924
0.25, 0, 0.0358849, 0.0296301, 0.05, 0.271127, 0.663358
0.25, 0, 0.0305687, 0.0336392, 0.05, 0.253018, 0.682774
0.25, 0, 0.0331372, 0.0320137, 0.05, 0.277522, 0.657327
0.25, 0, 0.0334806, 0.0287425, 0.05, 0.27336, 0.664417
0.25, 0, 0.0348945, 0.0351293, 0.05, 0.267487, 0.662489
0.25, 0, 0.0327717, 0.0306291, 0.05, 0.266475, 0.670124
0.25, 0, 0.0313341, 0.0280651, 0.05, 0.267941, 0.67266
0.25, 0, 0.0366667, 0.0355538, 0.05, 0.26911, 0.65867
0.25, 0, 0.0345735, 0.0281304, 0.05, 0.273294, 0.664002
0.25, 0, 0.0350738, 0.032443, 0.05, 0.268175, 0.664309
0.25, 0, 0.0358616, 0.0351701, 0.05, 0.273718, 0.655251
0.25, 0, 0.0371653, 0.0304873, 0.05, 0.271804, 0.660544
0.25, 0, 0.0327791, 0.0344225, 0.05, 0.265405, 0.667393
0.25, 0, 0.0315523, 0.0309513, 0.05, 0.283024, 0.654473
0.25, 0, 0.0323308, 0.0318985, 0.05, 0.273715, 0.662056
0.25, 0, 0.0353917, 0.0301994, 0.05, 0.269279, 0.66513
0.25, 0, 0.0331465, 0.0331107, 0.05, 0.275699, 0.658043
0.25, 0, 0.0348552, 0.0342358, 0.05, 0.275792, 0.655117
0.25, 0, 0.0303509, 0.0320862, 0.05, 0.269375, 0.668188
0.25, 0, 0.0349789, 0.0314636, 0.05, 0.271225, 0.662333
0.25, 0, 0.039212, 0.030665, 0.05, 0.264761, 0.665362
0.25, 0, 0.039667, 0.0325824, 0.05, 0.269446, 0.658305
0.25, 0, 0.0368372, 0.0288257, 0.05, 0.2688, 0.665537
0.25, 0, 0.0277011, 0.0285283, 0.05, 0.265548, 0.678222
0.25, 0, 0.032176, 0.0310964, 0.05, 0.273032, 0.663695
0.25, 0, 0.0391433, 0.0286989, 0.05, 0.276447, 0.655711
0.25, 0, 0.03404, 0.0310655, 0.05, 0.274168, 0.660726
0.25, 0, 0.0372522, 0.0343318, 0.05, 0.274045, 0.654371
0.25, 0, 0.0360293, 0.0292138, 0.05, 0.277129, 0.657628
0.25, 0, 0.0361495, 0.0319472, 0.05, 0.281555, 0.650349
0.25, 0, 0.0356682, 0.0293839, 0.05, 0.278533, 0.656415
0.25, 0, 0.0289144, 0.0310555, 0.05, 0.272785, 0.667245
0.25, 0, 0.0371857, 0.0290831, 0.05, 0.275475, 0.658256
0.25, 0, 0.0309971, 0.0321609, 0.05, 0.27121, 0.665632
0.25, 0, 0.0384015, 0.0292555, 0.05, 0.274487, 0.657856
0.25, 0, 0.0342464, 0.0307706, 0.05, 0.271861, 0.663122
0.25, 0, 0.0277626, 0.0349169, 0.05, 0.268372, 0.668948
0.25, 0, 0.0336285, 0.0279483, 0.05, 0.271743, 0.66668
0.25, 0, 0.0342767, 0.0295634, 0.05, 0.268441, 0.667719
0.25, 0, 0.0318436, 0.0334516, 0.05, 0.275095, 0.65961
0.25, 0, 0.0324306, 0.0272982, 0.05, 0.277311, 0.66296
0.25, 0, 0.0353875, 0.0342047, 0.05, 0.268721, 0.661686
0.25, 0, 0.0363298, 0.0302254, 0.05, 0.278458, 0.654986
0.25, 0, 0.0321747, 0.0303849, 0.05, 0.272209, 0.665231
0.25, 0, 0.0305686, 0.0303128, 0.05, 0.277944, 0.661174
0.25, 0, 0.0320322, 0.0330991, 0.05, 0.265282, 0.669587
0.25, 0, 0.0316387, 0.026786, 0.05, 0.287523, 0.654052
0.25, 0, 0.0323152, 0.0358318, 0.05, 0.265934, 0.665919
0.25, 0, 0.0350511, 0.0296435, 0.05, 0.276681, 0.658625
0.25, 0, 0.0346318, 0.0313509, 0.05, 0.270334, 0.663683
0.25, 0, 0.0349096, 0.0287944, 0.05, 0.268953, 0.667343
0.25, 0, 0.0328295, 0.0280638, 0.05, 0.27413, 0.664977
0.25, 0, 0.0377592, 0.0320799, 0.05, 0.267785, 0.662376
0.25, 0, 0.0321155, 0.0306364, 0.05, 0.264144, 0.673105
0.25, 0, 0.0325695, 0.0293871, 0.05, 0.276864, 0.661179
0.25, 0, 0.0331449, 0.0287407, 0.05, 0.267788, 0.670327
0.25, 0, 0.0333187, 0.0304962, 0.05, 0.274385, 0.6618
0.25, 0, 0.0357105, 0.0258631, 0.05, 0.276043, 0.662383
0.25, 0, 0.0374124, 0.030696, 0.05, 0.271139, 0.660753
0.25, 0, 0.0358572, 0.0319536, 0.05, 0.263728, 0.668461
0.25, 0, 0.0334801, 0.0300195, 0.05, 0.276825, 0.659675
0.25, 0, 0.0335184, 0.0315257, 0.05, 0.26742, 0.667536
0.25, 0, 0.0312191, 0.0333861, 0.05, 0.276476, 0.658919
0.25, 0, 0.0346728, 0.028658, 0.05, 0.27532, 0.66135
0.25, 0, 0.0380944, 0.0332626, 0.05, 0.27532, 0.653323
0.25, 0, 0.0389057, 0.0337834, 0.05, 0.277447, 0.649864
0.25, 0, 0.0293805, 0.0270659, 0.05, 0.275787, 0.667767
0.25, 0, 0.0354453, 0.0303831, 0.05, 0.268848, 0.665324
0.25, 0, 0.0342942, 0.0290982, 0.05, 0.260268, 0.676339
0.25, 0, 0.0334642, 0.0353089, 0.05, 0.282096, 0.649131
0.25, 0, 0.0323735, 0.029963, 0.05, 0.267633, 0.670031
0.25, 0, 0.0299841, 0.0323919, 0.05, 0.272634, 0.66499
0.25, 0, 0.033729, 0.0339335, 0.05, 0.269884, 0.662454
0.25, 0, 0.0332905, 0.0295232, 0.05, 0.269973, 0.667214
0.25, 0, 0.0323291, 0.0284859, 0.05, 0.267231, 0.671954
0.25, 0, 0.0341618, 0.0337832, 0.05, 0.271862, 0.660193
0.25, 0, 0.0353284, 0.0304687, 0.05, 0.274455, 0.659748
0.25, 0, 0.0343578, 0.0313526, 0.05, 0.267433, 0.666857
0.25, 0, 0.0337084, 0.0335873, 0.05, 0.293217, 0.639487
0.25, 0, 0.0366485, 0.0301729, 0.05, 0.273821, 0.659358
0.25, 0, 0.03249, 0.0312461, 0.05, 0.27998, 0.656283
0.25, 0, 0.036553, 0.0354162, 0.055, 0.276836, 0.651195
0.25, 0, 0.04132, 0.0307315, 0.055, 0.275361, 0.652588
0.25, 0, 0.0364289, 0.0339718, 0.055, 0.281324, 0.648276
0.25, 0, 0.0328408, 0.0334234, 0.055, 0.276219, 0.657517
0.25, 0, 0.0338345, 0.0384413, 0.055, 0.273488, 0.654236
0.25, 0, 0.0415748, 0.035379, 0.055, 0.271956, 0.65109
0.25, 0, 0.0397431, 0.0328145, 0.055, 0.269462, 0.65798
0.25, 0, 0.0354427, 0.0334985, 0.055, 0.271742, 0.659317
0.25, 0, 0.0348075, 0.0346941, 0.055, 0.270395, 0.660103
0.25, 0, 0.0436199, 0.0345114, 0.055, 0.282227, 0.639642
0.25, 0, 0.0404427, 0.0347227, 0.055, 0.271576, 0.653258
0.25, 0, 0.0430856, 0.0357538, 0.055, 0.275339, 0.645821
0.25, 0, 0.0371447, 0.0362783, 0.055, 0.283148, 0.643429
0.25, 0, 0.031794, 0.0340287, 0.055, 0.270685, 0.663492
0.25, 0, 0.0396525, 0.0308066, 0.055, 0.276643, 0.652898
0.25, 0, 0.0413479, 0.0377856, 0.055, 0.272788, 0.648079
0.25, 0, 0.0360093, 0.0335462, 0.055, 0.279351, 0.651093
0.25, 0, 0.0358323, 0.03303, 0.055, 0.264163, 0.666975
0.25, 0, 0.0376364, 0.0319872, 0.055, 0.26998, 0.660397
0.25, 0, 0.0372497, 0.0351939, 0.055, 0.277034, 0.650522
0.25, 0, 0.0297104, 0.0352084, 0.055, 0.274265, 0.660817
0.25, 0, 0.0375906, 0.0348491, 0.055, 0.27255, 0.655011
0.25, 0, 0.0431217, 0.0383845, 0.055, 0.269818, 0.648675
0.25, 0, 0.0400134, 0.0330548, 0.055, 0.274288, 0.652644
0.25, 0, 0.0352713, 0.0320223, 0.055, 0.268665, 0.664041
0.25, 0, 0.0371123, 0.035743, 0.055, 0.28576, 0.641384
0.25, 0, 0.0375017, 0.0386064, 0.055, 0.278711, 0.645181
0.25, 0, 0.0408643, 0.0335782, 0.055, 0.265794, 0.659763
0.25, 0, 0.0436471, 0.0371459, 0.055, 0.27667, 0.642537
0.25, 0, 0.040076, 0.0337262, 0.055, 0.268553, 0.657645
0.25, 0, 0.0406914, 0.0366056, 0.055, 0.27512, 0.647583
0.25, 0, 0.0357667, 0.0388987, 0.055, 0.269997, 0.655337
0.25, 0, 0.0412845, 0.0326936, 0.055, 0.276055, 0.649967
0.25, 0, 0.0316505, 0.0339242, 0.055, 0.272961, 0.661464
0.25, 0, 0.0361896, 0.0350221, 0.055, 0.275896, 0.652893
0.25, 0, 0.038209, 0.0307321, 0.055, 0.273945, 0.657114
0.25, 0, 0.0384461, 0.0367146, 0.055, 0.268859, 0.655981
0.25, 0, 0.0441866, 0.0372297, 0.055, 0.269573, 0.649011
0.25, 0, 0.0392453, 0.0324217, 0.055, 0.277479, 0.650854
0.25, 0, 0.0380809, 0.0353549, 0.055, 0.288823, 0.637741
0.25, 0, 0.0386238, 0.0362025, 0.055, 0.279543, 0.64563
0.25, 0, 0.0414838, 0.0342011, 0.055, 0.265002, 0.659313
0.25, 0, 0.0405554, 0.033245, 0.055, 0.260439, 0.66576
0.25, 0, 0.041532, 0.033563, 0.055, 0.275976, 0.648929
0.25, 0, 0.0415311, 0.0382494, 0.055, 0.276103, 0.644116
0.25, 0, 0.0400646, 0.033979, 0.055, 0.275593, 0.650363
0.25, 0, 0.041197, 0.0351151, 0.055, 0.272358, 0.65133
0.25, 0, 0.0402502, 0.0298751, 0.055, 0.275866, 0.654008
0.25, 0, 0.0370886, 0.0360944, 0.055, 0.276576, 0.650241
0.25, 0, 0.0382922, 0.0325916, 0.055, 0.28097, 0.648146
0.25, 0, 0.0376337, 0.0318396, 0.055, 0.279104, 0.651423
0.25, 0, 0.0381241, 0.032616, 0.055, 0.273396, 0.655864
0.25, 0, 0.0421143, 0.0316675, 0.055, 0.267433, 0.658785
0.25, 0, 0.0358773, 0.0378585, 0.055, 0.2602, 0.666064
0.25, 0, 0.0376915, 0.0274556, 0.055, 0.273078, 0.661774
0.25, 0, 0.0393189, 0.0330142, 0.055, 0.281679, 0.645988
0.25, 0, 0.0402363, 0.0359364, 0.055, 0.285247, 0.63858
0.25, 0, 0.0371412, 0.0333762, 0.055, 0.271821, 0.657661
0.25, 0, 0.0338014, 0.0371749, 0.055, 0.27463, 0.654394
0.25, 0, 0.0369981, 0.0342608, 0.055, 0.275353, 0.653388
0.25, 0, 0.0375913, 0.0364738, 0.055, 0.279848, 0.646087
0.25, 0, 0.042495, 0.0339607, 0.055, 0.278377, 0.645168
0.25, 0, 0.0364402, 0.0358825, 0.055, 0.278794, 0.648883
0.25, 0, 0.0339024, 0.0356605, 0.055, 0.273582, 0.656855
0.25, 0, 0.039279, 0.0402439, 0.055, 0.272617, 0.647861
0.25, 0, 0.0427914, 0.0353272, 0.055, 0.272265, 0.649616
0.25, 0, 0.0388677, 0.038382, 0.055, 0.269586, 0.653164
0.25, 0, 0.0389584, 0.0354888, 0.055, 0.267248, 0.658305
0.25, 0, 0.0364601, 0.0372201, 0.055, 0.267171, 0.659149
0.25, 0, 0.0433827, 0.0390547, 0.055, 0.271632, 0.64593
0.25, 0, 0.04229, 0.0362081, 0.055, 0.269054, 0.652448
0.25, 0, 0.0367043, 0.0351199, 0.055, 0.282091, 0.646085
0.25, 0, 0.0387183, 0.0357059, 0.055, 0.270988, 0.654588
0.25, 0, 0.0394201, 0.0354959, 0.055, 0.274007, 0.651077
0.25, 0, 0.0348464, 0.0355254, 0.055, 0.270346, 0.659283
0.25, 0, 0.0374462, 0.0333445, 0.055, 0.273035, 0.656174
0.25, 0, 0.0360278, 0.0366624, 0.055, 0.281589, 0.64572
0.25, 0, 0.041446, 0.0338405, 0.055, 0.270348, 0.654366
0.25, 0, 0.041586, 0.0365461, 0.055, 0.275859, 0.646009
0.25, 0, 0.0358748, 0.0346074, 0.055, 0.26702, 0.662498
0.25, 0, 0.0389569, 0.0313358, 0.055, 0.270325, 0.659382
0.25, 0, 0.0432752, 0.0358366, 0.055, 0.265786, 0.655102
0.25, 0, 0.0372632, 0.0371983, 0.055, 0.273234, 0.652305
0.25, 0, 0.0388038, 0.0343854, 0.055, 0.281232, 0.645579
0.25, 0, 0.0404509, 0.0346953, 0.055, 0.26944, 0.655413
0.25, 0, 0.0388721, 0.0346999, 0.055, 0.279515, 0.646913
0.25, 0, 0.0366351, 0.033272, 0.055, 0.273507, 0.656586
0.25, 0, 0.0390941, 0.0355953, 0.055, 0.282105, 0.643206
0.25, 0, 0.0361936, 0.0289474, 0.055, 0.281174, 0.653685
0.25, 0, 0.0411484, 0.0346706, 0.055, 0.275879, 0.648301
0.25, 0, 0.0383626, 0.0389345, 0.055, 0.275416, 0.647287
0.25, 0, 0.0416008, 0.0337214, 0.055, 0.268992, 0.655685
0.25, 0, 0.0373059, 0.0362772, 0.055, 0.273872, 0.652545
0.25, 0, 0.039618, 0.0426323, 0.055, 0.26777, 0.64998
0.25, 0, 0.0402674, 0.030803, 0.055, 0.274544, 0.654385
0.25, 0, 0.0378807, 0.0349645, 0.055, 0.283478, 0.643677
0.25, 0, 0.0395756, 0.0312797, 0.055, 0.267996, 0.661149
0.25, 0, 0.0427688, 0.0338355, 0.055, 0.275738, 0.647657
0.25, 0, 0.041917, 0.0369618, 0.055, 0.272925, 0.648196
0.25, 0, 0.0402689, 0.0340217, 0.055, 0.269309, 0.656401
0.25, 0, 0.0421488, 0.0414525, 0.06, 0.275053, 0.641346
0.25, 0, 0.0433003, 0.0429217, 0.06, 0.276892, 0.636886
0.25, 0, 0.0370495, 0.0400627, 0.06, 0.27335, 0.649538
0.25, 0, 0.0417802, 0.0386196, 0.06, 0.276709, 0.642891
0.25, 0, 0.04768, 0.0388743, 0.06, 0.270948, 0.642498
0.25, 0, 0.0461036, 0.0398597, 0.06, 0.269907, 0.64413
0.25, 0, 0.0447767, 0.0393123, 0.06, 0.278997, 0.636914
0.25, 0, 0.044927, 0.0372212, 0.06, 0.282355, 0.635496
0.25, 0, 0.0409099, 0.0393601, 0.06, 0.273921, 0.645809
0.25, 0, 0.0421147, 0.037728, 0.06, 0.277662, 0.642496
0.25, 0, 0.048638, 0.0438279, 0.06, 0.271706, 0.635828
0.25, 0, 0.0409333, 0.0402842, 0.06, 0.280729, 0.638054
0.25, 0, 0.0392753, 0.0352384, 0.06, 0.278076, 0.64741
0.25, 0, 0.0479119, 0.0369755, 0.06, 0.280424, 0.634688
0.25, 0, 0.0449724, 0.0318223, 0.06, 0.266008, 0.657197
0.25, 0, 0.0489799, 0.032328, 0.06, 0.273721, 0.644971
0.25, 0, 0.0406996, 0.0371065, 0.06, 0.283421, 0.638773
0.25, 0, 0.0423772, 0.0420374, 0.06, 0.264289, 0.651296
0.25, 0, 0.0423317, 0.0375543, 0.06, 0.275054, 0.64506
0.25, 0, 0.0471554, 0.0356692, 0.06, 0.278966, 0.63821
0.25, 0, 0.043101, 0.0395376, 0.06, 0.271225, 0.646136
0.25, 0, 0.0424386, 0.0407635, 0.06, 0.292096, 0.624702
0.25, 0, 0.042992, 0.0426637, 0.06, 0.283742, 0.630602
0.25, 0, 0.0394971, 0.0371269, 0.06, 0.294173, 0.629203
0.25, 0, 0.0406072, 0.0407995, 0.06, 0.281477, 0.637117
0.25, 0, 0.0440568, 0.043451, 0.06, 0.263705, 0.648787
0.25, 0, 0.043584, 0.0395194, 0.06, 0.279217, 0.63768
0.25, 0, 0.043301, 0.0449263, 0.06, 0.265178, 0.646595
0.25, 0, 0.0415132, 0.0414294, 0.06, 0.273811, 0.643247
0.25, 0, 0.0435796, 0.0371663, 0.06, 0.279015, 0.640239
0.25, 0, 0.0426026, 0.0372155, 0.06, 0.284802, 0.63538
0.25, 0, 0.0438976, 0.0392177, 0.06, 0.277294, 0.639591
0.25, 0, 0.0456094, 0.0457333, 0.06, 0.265572, 0.643086
0.25, 0, 0.0477956, 0.0389197, 0.06, 0.272369, 0.640915
0.25, 0, 0.0409559, 0.0438019, 0.06, 0.274161, 0.641082
0.25, 0, 0.0472378, 0.0385196, 0.06, 0.275799, 0.638443
0.25, 0, 0.0425772, 0.0392018, 0.06, 0.272151, 0.64607
0.25, 0, 0.0444393, 0.0406938, 0.06, 0.265821, 0.649046
0.25, 0, 0.0435771, 0.0395431, 0.06, 0.272728, 0.644152
0.25, 0, 0.0410334, 0.0434458, 0.06, 0.277145, 0.638376
0.25, 0, 0.0384434, 0.033379, 0.06, 0.269186, 0.658991
0.25, 0, 0.0423457, 0.0386606, 0.06, 0.280027, 0.638967
0.25, 0, 0.0426289, 0.0322155, 0.06, 0.277685, 0.647471
0.25, 0, 0.0419801, 0.0377133, 0.06, 0.28028, 0.640027
0.25, 0, 0.0425439, 0.0435166, 0.06, 0.27561, 0.63833
0.25, 0, 0.0424209, 0.0402306, 0.06, 0.283857, 0.633491
0.25, 0, 0.0406701, 0.0358165, 0.06, 0.293066, 0.630448
0.25, 0, 0.0453579, 0.0372707, 0.06, 0.264009, 0.653363
0.25, 0, 0.0395017, 0.0368358, 0.06, 0.278518, 0.645145
0.25, 0, 0.0415569, 0.0451532, 0.06, 0.273278, 0.640012
0.25, 0, 0.0468254, 0.0397062, 0.06, 0.276806, 0.636662
0.25, 0, 0.0407577, 0.0423505, 0.06, 0.285252, 0.63164
0.25, 0, 0.0393357, 0.0396084, 0.06, 0.275087, 0.645969
0.25, 0, 0.043753, 0.0414444, 0.06, 0.264946, 0.649857
0.25, 0, 0.0375582, 0.0396912, 0.06, 0.291595, 0.631155
0.25, 0, 0.041393, 0.0382921, 0.06, 0.276569, 0.643746
0.25, 0, 0.0404236, 0.0381047, 0.06, 0.276498, 0.644973
0.25, 0, 0.0419215, 0.0398561, 0.06, 0.264665, 0.653557
0.25, 0, 0.042075, 0.0397174, 0.06, 0.273353, 0.644855
0.25, 0, 0.0401276, 0.0382078, 0.06, 0.282517, 0.639147
0.25, 0, 0.047589, 0.036793, 0.06, 0.280565, 0.635053
0.25, 0, 0.0433018, 0.0462873, 0.06, 0.268653, 0.641758
0.25, 0, 0.0426978, 0.0406323, 0.06, 0.279458, 0.637212
0.25, 0, 0.042313, 0.0366431, 0.06, 0.270234, 0.65081
0.25, 0, 0.0433089, 0.036949, 0.06, 0.269788, 0.649954
0.25, 0, 0.044759, 0.0380363, 0.06, 0.27499, 0.642215
0.25, 0, 0.0441504, 0.0360282, 0.06, 0.263064, 0.656757
0.25, 0, 0.0511573, 0.0415416, 0.06, 0.274927, 0.632374
0.25, 0, 0.0412724, 0.0390062, 0.06, 0.278587, 0.641135
0.25, 0, 0.0508149, 0.0431375, 0.06, 0.264238, 0.64181
0.25, 0, 0.0393013, 0.0377739, 0.06, 0.267342, 0.655583
0.25, 0, 0.0445143, 0.0409082, 0.06, 0.279687, 0.63489
0.25, 0, 0.0386556, 0.0434192, 0.06, 0.274039, 0.643886
0.25, 0, 0.0473945, 0.0392383, 0.06, 0.270423, 0.642945
0.25, 0, 0.0411532, 0.0398371, 0.06, 0.276892, 0.642118
0.25, 0, 0.0400839, 0.0393761, 0.06, 0.275941, 0.644599
0.25, 0, 0.0413226, 0.0371533, 0.06, 0.269813, 0.651711
0.25, 0, 0.0433307, 0.0351327, 0.06, 0.268684, 0.652853
0.25, 0, 0.0465405, 0.0433879, 0.06, 0.278237, 0.631835
0.25, 0, 0.0468253, 0.0384481, 0.06, 0.269622, 0.645105
0.25, 0, 0.0406188, 0.0390169, 0.06, 0.271896, 0.648468
0.25, 0, 0.0414413, 0.0468848, 0.06, 0.275314, 0.63636
0.25, 0, 0.0403615, 0.037788, 0.06, 0.27268, 0.649171
0.25, 0, 0.0402622, 0.0378676, 0.06, 0.276157, 0.645713
0.25, 0, 0.0439889, 0.0424357, 0.06, 0.270583, 0.642992
0.25, 0, 0.0436545, 0.0368102, 0.06, 0.279023, 0.640513
0.25, 0, 0.0439114, 0.0401716, 0.06, 0.271106, 0.644811
0.25, 0, 0.0435664, 0.0364452, 0.06, 0.283205, 0.636784
0.25, 0, 0.045076, 0.035293, 0.06, 0.275555, 0.644076
0.25, 0, 0.0419717, 0.0362895, 0.06, 0.276381, 0.645358
0.25, 0, 0.0452447, 0.0402517, 0.06, 0.27606, 0.638444
0.25, 0, 0.0450663, 0.0386985, 0.06, 0.267486, 0.648749
0.25, 0, 0.043216, 0.0394337, 0.06, 0.276417, 0.640934
0.25, 0, 0.0432363, 0.041995, 0.06, 0.279879, 0.63489
0.25, 0, 0.0411476, 0.0403075, 0.06, 0.276324, 0.642221
0.25, 0, 0.0466127, 0.0434645, 0.06, 0.268969, 0.640953
0.25, 0, 0.0464641, 0.0362742, 0.06, 0.273366, 0.643895
0.25, 0, 0.0388332, 0.0385292, 0.06, 0.275423, 0.647215
0.25, 0, 0.0445848, 0.0359578, 0.06, 0.271102, 0.648356
0.25, 0, 0.046931, 0.0397856, 0.06, 0.272655, 0.640628
0.25, 0, 0.0501423, 0.0414068, 0.065, 0.280786, 0.627665
0.25, 0, 0.0489549, 0.0412742, 0.065, 0.280819, 0.628952
0.25, 0, 0.0481047, 0.0433137, 0.065, 0.288915, 0.619667
0.25, 0, 0.0504459, 0.043176, 0.065, 0.285252, 0.621126
0.25, 0, 0.0509142, 0.0395148, 0.065, 0.280475, 0.629096
0.25, 0, 0.0485749, 0.0422417, 0.065, 0.277541, 0.631642
0.25, 0, 0.0530281, 0.0492272, 0.065, 0.267813, 0.629932
0.25, 0, 0.0436887, 0.0445295, 0.065, 0.280595, 0.631187
0.25, 0, 0.0450352, 0.040694, 0.065, 0.277502, 0.636769
0.25, 0, 0.0443422, 0.0431587, 0.065, 0.287781, 0.624718
0.25, 0, 0.0464292, 0.0431498, 0.065, 0.277392, 0.633029
0.25, 0, 0.0463851, 0.0434196, 0.065, 0.273922, 0.636273
0.25, 0, 0.0497597, 0.0454894, 0.065, 0.276071, 0.62868
0.25, 0, 0.0454356, 0.048468, 0.065, 0.282494, 0.623603
0.25, 0, 0.050582, 0.0428802, 0.065, 0.277756, 0.628782
0.25, 0, 0.0448544, 0.0452752, 0.065, 0.283373, 0.626497
0.25, 0, 0.0490574, 0.0406935, 0.065, 0.270982, 0.639267
0.25, 0, 0.0476404, 0.0393193, 0.065, 0.27299, 0.64005
0.25, 0, 0.0445489, 0.0439778, 0.065, 0.27798, 0.633493
0.25, 0, 0.0487378, 0.0464906, 0.065, 0.267886, 0.636885
0.25, 0, 0.0458297, 0.0458579, 0.065, 0.285648, 0.622664
0.25, 0, 0.0521233, 0.0451686, 0.065, 0.267182, 0.635526
0.25, 0, 0.0532014, 0.0454851, 0.065, 0.271284, 0.630029
0.25, 0, 0.048401, 0.0439206, 0.065, 0.291068, 0.61661
0.25, 0, 0.0490313, 0.0460122, 0.065, 0.27795, 0.627007
0.25, 0, 0.0505249, 0.046194, 0.065, 0.278345, 0.624936
0.25, 0, 0.0471306, 0.0494875, 0.065, 0.27889, 0.624492
0.25, 0, 0.0459396, 0.0427722, 0.065, 0.274805, 0.636483
0.25, 0, 0.047371, 0.043832, 0.065, 0.277071, 0.631726
0.25, 0, 0.0474551, 0.0456069, 0.065, 0.287997, 0.618941
0.25, 0, 0.0528762, 0.0395752, 0.065, 0.28415, 0.623399
0.25, 0, 0.0509509, 0.045474, 0.065, 0.279671, 0.623904
0.25, 0, 0.0485988, 0.0459935, 0.065, 0.269334, 0.636074
0.25, 0, 0.0515572, 0.041987, 0.065, 0.271766, 0.63469
0.25, 0, 0.0432298, 0.042329, 0.065, 0.280951, 0.63349
0.25, 0, 0.0495617, 0.040138, 0.065, 0.281701, 0.6286
0.25, 0, 0.0523849, 0.0426435, 0.065, 0.283163, 0.621809
0.25, 0, 0.048132, 0.0457353, 0.065, 0.26281, 0.643323
0.25, 0, 0.0463987, 0.0456888, 0.065, 0.28773, 0.620182
0.25, 0, 0.0430882, 0.0399608, 0.065, 0.273246, 0.643705
0.25, 0, 0.0475849, 0.0452358, 0.065, 0.273989, 0.63319
0.25, 0, 0.0500968, 0.0452866, 0.065, 0.270504, 0.634112
0.25, 0, 0.0495937, 0.0483852, 0.065, 0.279411, 0.62261
0.25, 0, 0.0511413, 0.0464054, 0.065, 0.278098, 0.624356
0.25, 0, 0.0501402, 0.0413247, 0.065, 0.272605, 0.635931
0.25, 0, 0.0472512, 0.0442407, 0.065, 0.27564, 0.632868
0.25, 0, 0.0449528, 0.0463269, 0.065, 0.272425, 0.636295
0.25, 0, 0.0487282, 0.0467485, 0.065, 0.280376, 0.624147
0.25, 0, 0.0449384, 0.0464005, 0.065, 0.274561, 0.6341
0.25, 0, 0.0462983, 0.0459016, 0.065, 0.278893, 0.628907
0.25, 0, 0.0483014, 0.0428813, 0.065, 0.274354, 0.634463
0.25, 0, 0.0553874, 0.0388369, 0.065, 0.276941, 0.628835
0.25, 0, 0.0476694, 0.0439783, 0.065, 0.275236, 0.633117
0.25, 0, 0.0485318, 0.0459853, 0.065, 0.275865, 0.629618
0.25, 0, 0.048191, 0.0499635, 0.065, 0.281604, 0.620242
0.25, 0, 0.045645, 0.0453808, 0.065, 0.268701, 0.640273
0.25, 0, 0.0488632, 0.0474563, 0.065, 0.271507, 0.632173
0.25, 0, 0.0455469, 0.0384842, 0.065, 0.28068, 0.635289
0.25, 0, 0.0483395, 0.042634, 0.065, 0.27616, 0.632867
0.25, 0, 0.0485543, 0.0421817, 0.065, 0.273755, 0.635509
0.25, 0, 0.0450598, 0.0455877, 0.065, 0.273142, 0.63621
0.25, 0, 0.0470552, 0.0448196, 0.065, 0.285497, 0.622628
0.25, 0, 0.0511591, 0.0487416, 0.065, 0.273141, 0.626958
0.25, 0, 0.0536827, 0.0414376, 0.065, 0.27308, 0.6318
0.25, 0, 0.0497132, 0.0419391, 0.065, 0.271964, 0.636384
0.25, 0, 0.050026, 0.0398879, 0.065, 0.277618, 0.632468
0.25, 0, 0.0426953, 0.042724, 0.065, 0.28497, 0.629611
0.25, 0, 0.0482713, 0.0405016, 0.065, 0.274649, 0.636578
0.25, 0, 0.048521, 0.0492059, 0.065, 0.270847, 0.631426
